codigo,asignatura,jv1,acum
2600055,programacion,3.2,0.8
2600055,quimica,3.9,0.97
2600055,teatro,3.6,0.9
2600055,trigonometria,3.3,0.82
2600057,ciencias_politicas_economicas,4.3,1.07
2600057,competencias_ciudadanas,3.6,0.9
2600057,dibujo,3.7,0.92
2600057,educacion_etica_religiosa,4.1,1.02
2600057,educacion_fisica_rd,2.7,0.67
2600057,electronica,3.9,0.97
2600057,filosofia,5.0,1.25
2600057,fisica,2.5,0.62
2600057,informatica_tecnologia,3.7,0.92
2600057,ingles_avanzado,2.2,0.55
2600057,lengua_castellana,3.7,0.92
2600057,logica_matematica,3.4,0.85
2600057,programacion,3.0,0.75
2600057,quimica,3.8,0.95
2600057,teatro,3.4,0.85
2600057,trigonometria,2.7,0.67
2600058,ciencias_politicas_economicas,3.6,0.9
2600058,competencias_ciudadanas,2.9,0.72
2600058,dibujo,3.3,0.82
2600058,educacion_etica_religiosa,2.1,0.52
2600058,educacion_fisica_rd,4.1,1.02
2600058,electronica,2.7,0.67
2600058,filosofia,3.0,0.75
2600058,fisica,2.3,0.57
2600058,informatica_tecnologia,3.3,0.82
2600058,ingles_avanzado,1.6,0.4
2600058,lengua_castellana,3.1,0.77
2600058,logica_matematica,2.4,0.6
2600058,programacion,2.6,0.65
2600058,quimica,2.5,0.62
2600058,teatro,3.7,0.92
2600058,trigonometria,2.1,0.52
2600059,ciencias_politicas_economicas,4.0,1.0
2600059,competencias_ciudadanas,3.6,0.9
2600059,dibujo,4.2,1.05
2600059,educacion_etica_religiosa,4.8,1.2
2600059,educacion_fisica_rd,2.3,0.57
2600059,electronica,2.9,0.72
2600059,filosofia,4.9,1.22
2600059,fisica,2.4,0.6
2600059,informatica_tecnologia,3.6,0.9
2600059,ingles_avanzado,2.8,0.7
2600059,lengua_castellana,3.4,0.85
2600059,logica_matematica,2.7,0.67
2600059,programacion,4.3,1.07
2600059,quimica,3.7,0.92
2600059,teatro,4.0,1.0
2600059,trigonometria,2.4,0.6
2600060,ciencias_politicas_economicas,4.0,1.0
2600060,competencias_ciudadanas,4.8,1.2
2600060,dibujo,4.0,1.0
2600060,educacion_etica_religiosa,4.7,1.17
2600060,educacion_fisica_rd,4.2,1.05
2600060,electronica,4.2,1.05
2600060,filosofia,5.0,1.25
2600060,fisica,3.7,0.92
2600060,informatica_tecnologia,4.1,1.02
2600060,ingles_avanzado,3.6,0.9
2600060,lengua_castellana,4.0,1.0
2600060,logica_matematica,4.1,1.02
2600060,programacion,4.8,1.2
2600060,quimica,4.0,1.0
2600060,teatro,3.8,0.95
2600060,trigonometria,3.4,0.85
2600072,ciencias_politicas_economicas,4.0,1.0
2600072,competencias_ciudadanas,3.8,0.95
2600072,dibujo,3.2,0.8
2600072,educacion_etica_religiosa,2.9,0.72
2600072,educacion_fisica_rd,4.0,1.0
2600072,electronica,4.2,1.05
2600072,filosofia,4.1,1.02
2600072,fisica,3.1,0.77
2600072,informatica_tecnologia,3.4,0.85
2600072,ingles_avanzado,3.0,0.75
2600072,lengua_castellana,3.3,0.82
2600072,logica_matematica,3.4,0.85
2600072,programacion,3.4,0.85
2600072,quimica,3.5,0.87
2600072,teatro,3.9,0.97
2600072,trigonometria,3.4,0.85
2600075,ciencias_politicas_economicas,3.9,0.97
2600075,competencias_ciudadanas,4.8,1.2
2600075,dibujo,4.4,1.1
2600075,educacion_etica_religiosa,4.5,1.12
2600075,educacion_fisica_rd,3.8,0.95
2600075,electronica,4.4,1.1
2600075,filosofia,4.8,1.2
2600075,fisica,4.0,1.0
2600075,informatica_tecnologia,4.3,1.07
2600075,ingles_avanzado,4.5,1.12
2600075,lengua_castellana,3.4,0.85
2600075,logica_matematica,3.6,0.9
2600075,programacion,4.0,1.0
2600075,quimica,4.3,1.07
2600075,teatro,4.0,1.0
2600075,trigonometria,3.6,0.9
2600084,ciencias_politicas_economicas,3.8,0.95
2600084,competencias_ciudadanas,4.1,1.02
2600084,dibujo,3.6,0.9
2600084,educacion_etica_religiosa,4.3,1.07
2600084,educacion_fisica_rd,4.1,1.02
2600084,electronica,3.9,0.97
2600084,filosofia,4.3,1.07
2600084,fisica,3.0,0.75
2600084,informatica_tecnologia,3.8,0.95
2600084,ingles_avanzado,3.0,0.75
2600084,lengua_castellana,3.3,0.82
2600084,logica_matematica,3.1,0.77
2600084,programacion,3.4,0.85
2600084,quimica,3.3,0.82
2600084,teatro,3.9,0.97
2600084,trigonometria,2.9,0.72
